ADA	Adams
ALL	Allen
BAR	Bartholomew
BEN	Benton
BLA	Blackford
BOO	Boone
BRO	Brown
CAR	Carroll
CAS	Cass
CLAR	Clark
CLAY	Clay
CLI	Clinton
CRA	Crawford
DAV	Daviess
DEA	Dearborn
DEC	Decatur
DEK	DeKalb
DEL	Delaware
DUB	Dubois
ELK	Elkhart
FAY	Fayette
FLO	Floyd
FOU	Fountain
FRA	Franklin
FUL	Fulton
GIB	Gibson
GRA	Grant
GRE	Greene
HAM	Hamilton
HAN	Hancock
HAR	Harrison
HEND	Hendricks
HENR	Henry
HOW	Howard
HUN	Huntington
JAC	Jackson
JAS	Jasper
JAY	Jay
JEF	Jefferson
JEN	Jennings
JOH	Johnson
KNO	Knox
KOS	Kosciusko
LAG	Lagrange
LAK	Lake
LAP	LaPorte
LAW	Lawrence
MAD	Madison
MARI	Marion
MARS	Marshall
MART	Martin
MIA	Miami
MONR	Monroe
MONT	Montgomery
MOR	Morgan
NEW	Newton
NOB	Noble
OHI	Ohio
ORA	Orange
OWE	Owen
PAR	Parke
PER	Perry
PIK	Pike
POR	Porter
POS	Posey
PUL	Pulaski
PUT	Putnam
RAN	Randolph
RIP	Ripley
RUS	Rush
SCO	Scott
SHE	Shelby
SPE	Spencer
STA	Starke
STE	Steuben
STJ	StJoseph
SUL	Sullivan
SWI	Switzerland
TIPP	Tippecanoe
TIPT	Tipton
UNI	Union
VAN	Vanderburgh
VER	Vermillion
VIG	Vigo
WAB	Wabash
WARN	Warren
WARK	Warrick
WAS	Washington
WAY	Wayne
WEL	Wells
WHTE	White
WHTL	Whitley
