AF-001  Agalega Islands
AF-002  Amsterdam & St. Paul Islands
AF-003  Ascension Island
AF-004  Canary Islands
AF-005  Leeward Islands
AF-006  Diego Garcia Island
AF-007  Comoro Islands
AF-008  Crozet Islands
AF-009  Europa Island
AF-010  Bioko (Fernando Poo) Island
AF-011  Glorioso Islands
AF-012  Juan De Nova Island
AF-013  Madagascar (Main Island Only)
AF-014  Madeira Archipelago
AF-015  Saint Brandon Islands
AF-016  Reunion Island
AF-017  Rodrigues Island
AF-018  Pantelleria Island
AF-019  Pelagie Islands
AF-020  Bijagos Archipelago
AF-021  Prince Edward & Marion Islands
AF-022  St. Helena Island
AF-023  Sao Tome Island
AF-024  Inner Islands
AF-025  Aldabra Islands
AF-026  Cosmoledo Group
AF-027  Mayotte Island
AF-028  Socotra Island
AF-029  Tristan Da Cunha Islands
AF-030  Gough Island
AF-031  Tromelin Island
AF-032  Zanzibar Island
AF-033  Amirante Islands
AF-034  Bassas Da India Islands
AF-035  Farquhar Islands
AF-036  Chafarinas Islands
AF-037  Northern/Western Province Group
AF-038  Dahlak Archipelago
AF-039  Annobon (Pagalu) Island
AF-040  Coast Province North Group
AF-041  Egmont Group
AF-042  Alboran Island
AF-043  Estuaire Province Group
AF-044  Principe Island
AF-045  Senegal North Group
AF-046  Desertas Islands
AF-047  Selvagens Islands
AF-048  Kerguelen Islands
AF-049  Mauritius Island
AF-050  Dakhlet Nouadhibou/Inchiri Region Grou
AF-051  Guinee-Maritime Province South Group
AF-052  Indian Ocean Coast South Group
AF-053  Gulf Of Tadjoura Group
AF-054  Mafia Island
AF-055  Penguin Islands
AF-056  Southern Province Group
AF-057  Madagascar's Coastal Islands West
AF-058  Salomon Islands
AF-059  Strait of Mandab Group
AF-060  The Gambia Group
AF-061  Cabo Delgado District Group
AF-062  Suakin Archipelago
AF-063  Pemba Island
AF-064  Western Cape Province South West Group
AF-065  Safi/Essaouira/Agadir Region Group
AF-066  Gaza/Maputo District Group
AF-067  Coast Province South Group
AF-068  Western Sahara South Group
AF-069  Alhucemas Island
AF-070  Karas Region Group
AF-071  Geyser Bank
AF-072  Inhambane District Group
AF-073  Sfax Region Group
AF-074  Lindi/Mtwara Region Group
AF-075  Dar Es Salaam/Pwani Region Group
AF-076  Bayelsa/Rivers/Akwa Ibom etc States Gr
AF-077  Western Cape Province South Group
AF-078  Senegal South Group
AF-079  Eastern Cape Province Group
AF-080  Red Sea Coast North Group
AF-081  Red Sea Coast South Group
AF-082  Rio Muni Province Group
AF-083  Gabes/Medenine Region Group
AF-084  Ghana Group
AF-085  Western Cape Province North West Group
AF-086  Windward Islands
AF-087  Tanga Region Group
AF-088  Nampula District Group
AF-089  Ogooue Maritime Province Group
AF-090  Madagascar's Coastal Islands East
AF-091  Jendouba/Bizerte/Tunis/Nabeul Region
AF-092  Sousse/Monastir/Mahdia Region group
AF-093  Guinea-Bissau Coastal Region
AF-094  Mediterranean Sea Coast West Group
AF-095  Cameroon Group
AF-096  Guinee-Maritime Province North Group
AN-001  Graham Land West (Adelaide Island) Gro
AN-002  Bouvet Island
AN-003  Heard Island
AN-004  Peter 1 Island
AN-005  Macquarie Island
AN-006  Graham Land West (Biscoe Islands) Grou
AN-007  South Georgia Island
AN-008  South Orkney Islands
AN-009  South Sandwich Islands
AN-010  South Shetland Islands
AN-011  Ross Island Group
AN-012  Graham Land West (Palmer Archipelago)
AN-013  Trinity Peninsula Group
AN-014  Berkner Island
AN-015  Queen Maud Land (Prince Harald)
AN-016  Antarctica (Main Island Only)
AN-017  Adelie Land Group
AN-018  Palmer Land West (Alexander Island) Gr
AS-001  Andaman Islands
AS-002  Bahrain Island
AS-003  Sri Lanka Island (Main Island Only)
AS-004  Cyprus Island (Main Island Only)
AS-005  Kara Sea Coast West Group
AS-006  Hong Kong Group
AS-007  Honshu Island (Main Island Only)
AS-008  North Izu Islands
