ALL  Allen
AND  Anderson
ATC  Atchison
BAR  Barber
BRT  Barton
BOU  Bourbon
BRO  Brown
BUT  Butler
CHS  Chase
CHT  Chautauqua
CHE  Cherokee
CHY  Cheyenne
CLK  Clark
CLY  Clay
CLO  Cloud
COF  Coffey
COM  Comanche
COW  Cowley
CRA  Crawford
DEC  Decatur
DIC  Dickinson
DON  Doniphan
DOU  Douglas
EDW  Edwards
ELK  Elk
ELL  Ellis
ELS  Ellsworth
FIN  Finney
FOR  Ford
FRA  Franklin
GEA  Geary
GOV  Gove
GRM  Graham
GRT  Grant
GRY  Gray 	
GLY  Greeley
GRE  Greenwood
HAM  Hamilton
HPR  Harper
HVY  Harvey
HAS  Haskell
HOG  Hodgeman
JAC  Jackson
JEF  Jefferson
JEW  Jewell
JOH  Johnson
KEA  Kearny
KIN  Kingman
KIO  Kiowa
LAB  Labette
LAN  Lane
LEA  Leavenworth
LCN  Lincoln
LIN  Linn
LOG  Logan
LYO  Lyon
MRN  Marion
MSH  Marshall
MCP  McPherson
MEA  Meade
MIA  Miami
MIT  Mitchell
MGY  Montgomery
MOR  Morris
MTN  Morton
NEM  Nemaha
NEO  Neosho
NES  Ness
NOR  Norton
OSA  Osage
OSB  Osborne
OTT  Ottawa
PAW  Pawnee
PHI  Phillips
POT  Pottawatomie
PRA  Pratt
RAW  Rawlins
REN  Reno
REP  Republic
RIC  Rice
RIL  Riley
ROO  Rooks
RUS  Rush
RSL  Russell
SAL  Saline
SCO  Scott
SED  Sedgwick
SEW  Seward
SHA  Shawnee
SHE  Sheridan
SMN  Sherman
SMI  Smith
STA  Stafford
STN  Stanton
STE  Stevens
SUM  Sumner
THO  Thomas
TRE  Trego
WAB  Wabaunsee
WAL  Wallace
WAS  Washington
WIC  Wichita
WIL  Wilson
WOO  Woodson
WYA  Wyandotte
CT                    Connecticut
MA                    Massachusetts
ME                    Maine
NH                    New Hampshire
RI                    Rhode Island
VT                    Vermont
NY                    New York
NJ                    New Jersey
DE                    Delaware
PA                    Pennsylvania
MD                    Maryland
AL                    Alabama
GA                    Georgia
KY                    Kentucky
NC                    North Carolina
FL                    Florida
SC                    South Carolina
TN                    Tennessee
VA                    Virginia
AR                    Arkansas
LA                    Louisiana
MS                    Mississippi
NM                    New Mexico
OK                    Oklahoma
CA                    California
HI                    Hawaii
AZ                    Arizona
WA                    Washington
ID                    Idaho
MT                    Montana
NV                    Nevada
OR                    Oregon
UT                    Utah
WA                    Washington
WY                    Wyoming
AK                    Alaska
MI                    Michigan
OH                    Ohio
WV                    West Virginia
IL                    Illinois
IN                    Indiana
WI                    Wisconsin
CO                    Colorado
IA                    Iowa
TX                    Texas
MN                    Minnesota
MO                    Missouri
NE                    Nebraska
ND                    North Dakota
SD                    South Dakota
MAR                   Maritimes
QC                    Quebec
ON                    Ontario
MB                    Manitoba
SK                    Saskatchewan
AB                    Alberta
BC                    British Columbia
NT                    Northern Territories
DX                    International
