ACCVA     Accomack, VA	
ADAPA     Adams, PA	
ALBNY     Albany, NY	
ALBVA     Albemarle, VA	
ALLMD     Allegany, MD	
ALLNY     Allegany, NY	
ALLPA     Allegheny, PA	
ALLVA     Alleghany, VA	
AMEVA     Amelia, VA	
AMHVA     Amherst, VA	
ANAMD     Anne Arundel, MD	
APPVA     Appomattox, VA	
ARLVA     Arlington, VA	
ARMPA     Armstrong, PA	
ATLNJ     Atlantic, NJ	
AUGVA     Augusta, VA	
BALMD     Baltimore, MD	
BARWV     Barbour, WV	
BATVA     Bath, VA	
BCHVA     Buchanan, VA	
BCTMD     Baltimore City, MD	
BEAPA     Beaver, PA	
BEDPA     Bedford, PA	
BEDVA     Bedford, VA	
BERNJ     Bergen, NJ	
BERPA     Berks, PA	
BERWV     Berkeley, WV	
BHMVA     Buckingham, VA	
BLAPA     Blair, PA	
BLAVA     Bland, VA	
BOOWV     Boone, WV	
BOTVA     Botetourt, VA	
BRAPA     Bradford, PA	
BRKWV     Brooke, WV 	
BRMNY     Broome, NY	
BRUVA     Brunswick, VA	
BRXNY     Bronx, NY	
BRXWV     Braxton, WV 	
BURNJ     Burlington, NJ	
BUTPA     Butler, PA	
BUXPA     Bucks, PA	
CABWV     Cabell, WV 	
CALMD     Calvert, MD	
CALWV     Calhoun, WV	
CAMNJ     Camden, NJ	
CAMVA     Campbell, VA	
CAPDC     Washington DC	
CARMD     Caroline, MD	
CARPA     Carbon, PA	
CATNY     Cattaraugus, NY	
CAYNY     Cayuga, NY	
CCYVA     Charles City, VA	
CECMD     Cecil, MD	
CENPA     Centre, PA	
CHAMD     Charles, MD	
CHAVA     Charlotte, VA	
CHEPA     Chester, PA	
CHEVA     Chesterfield, VA	
CHGNY     Chenango, NY	
CHMNY     Chemung, NY	
CHQNY     Chautauqua, NY	
CLAPA     Clarion, PA	
CLAVA     Clarke, VA	
CLEPA     Clearfield, PA	
CLINY     Clinton, NY	
CLIPA     Clinton, PA	
CLNVA     Caroline, VA	
CLYWV     Clay, WV 	
CMBPA     Cambria, PA	
COLNY     Columbia, NY	
COLPA     Columbia, PA	
CPMNJ     Cape May, NJ	
CRAPA     Crawford, PA	
CRAVA     Craig, VA	
CRLMD     Carroll, MD	
CRLVA     Carroll, VA	
CRNPA     Cameron, PA	
CRTNY     Cortland, NY	
CULVA     Culpepper, VA	
CUMNJ     Cumberland, NJ	
CUMPA     Cumberland, PA	
CUMVA     Cumberland, VA	
DAUPA     Dauphin, PA	
DCOPA     Delware, PA	
DELNY     Delaware, NY	
DICVA     Dickenson, VA	
DINVA     Dinwiddie, VA	
DODWV     Doddridge, WV 	
DORMD     Dorchester, MD	
DUTNY     Dutchess, NY	
ELKPA     Elk, PA	
ERINY     Erie, NY	
ERIPA     Erie, PA	
ESSVA     Essex, VA	
ESXNJ     Essex, NJ	
ESXNY     Essex, NY	
FAUVA     Fauquier, VA	
FAYPA     Fayette, PA	
FAYWV     Fayette, WV 	
FFXVA     Fairfax, VA	
FLOVA     Floyd, VA	
FLUVA     Fluvanna, VA	
FORPA     Forest, PA	
FRAPA     Franklin, PA	
FRAVA     Franklin, VA	
FREMD     Frederick, MD	
FREVA     Frederick, VA	
FRKNY     Franklin, NY	
FULNY     Fulton, NY	
FULPA     Fulton, PA	
GARMD     Garrett, MD	
GENNY     Genesee, NY	
GILVA     Giles, VA	
GILWV     Gilmer, WV	
GLONJ     Gloucester, NJ	
GLOVA     Gloucester, VA	
GOOVA     Goochland, VA	
GRAVA     Grayson, VA	
GREPA     Greene, PA	
GRNNY     Greene, NY	
GRNVA     Greene, VA	
GRNWV     Greenbrier, WV 	
GRTWV     Grant, WV 	
GVLVA     Greenville, VA	
HAKWV     Hancock, WV	
HALVA     Halifax, VA	
HAMNY     Hamilton, NY	
HAMWV     Hampshire, WV 	
HANVA     Hanover, VA	
HARMD     Harford, MD	
HARWV     Harrison, WV 	
HCOVA     Henrico, VA	
HDYWV     Hardy, WV 	
HERNY     Herkimer, NY	
HIGVA     Highland, VA	
HOWMD     Howard, MD	
HRYVA     Henry, VA	
HUDNJ     Hudson, NJ	
HUNNJ     Hunterdon, NJ	
HUNPA     Huntingdon, PA	
INNPA     Indiana, PA	
IOWVA     Isle Of Wight, VA	
JAKWV     Jackson, WV 	
JAMVA     James City, VA	
JEFNY     Jefferson, NY	
JEFPA     Jefferson, PA	
JEFWV     Jefferson, WV	
JUNPA     Juniata, PA	
KANWV     Kanawha, WV 	
KENDE     Kent, DE	
KENMD     Kent, MD	
KGEVA     King George, VA	
KNGNY     Kings, NY	
KQNVA     King and Queen, VA	
KWMVA     King William, VA	
LACPA     Lackawanna, PA	
LANPA     Lancaster, PA	
LANVA     Lancaster, VA	
LAWPA     Lawrence, PA	
