Adams        ADAM
Antelope     ANT
Arthur       ART
Banner       BAN
Blaine       BLN
Boone        BOON
Box Butte    BOX
Boyd         BOYD
Brown        BRW
Buffalo      BUFF
Burt         BURT
Butler       BUT
Cass         CASS
Cedar        CDR
Chase        CHS
Cherry       CHRY
Cheyenne     CHYN
Clay         CLAY
Colfax       CLFX
Cuming       CUM
Custer       CUS
Dakota       DAKT
Dawes        DAWS
Dawson       DWSN
Deuel        DEUL
Dixon        DIX
Dodge        DDGE
Douglas      DOUG
Dundy        DUND
Fillmore     FILL
Franklin     FRNK
Frontier     FRNT
Furnas       FURN
Gage         GAGE
Garden       GARD
Garfield     GARF
Gosper       GOSP
Grant        GRNT
Greeley      GREE
Hall         HALL
Hamilton     HAM
Harlan       HARL
Hayes        HAYS
Hitchcock    HTCH
Holt         HOLT
Hooker       HOOK
Howard       HOWD
Jefferson    JEFF
Johnson      JOHN
Kearney      KEAR
Keith        KTH
Keya Paha    KEYS
Kimball      KIM
Knox         KNOX
Lancaster    LAN
Lincoln      LIN
Logan        LGN
Loup         LOUP
Madison      MAD
McPherson    MCP
Merrick      MER
Morrill      MOR
Nance        NANC
Nemaha       NEM
Nuckolls     NUCK
Otoe         OTOE
Pawnee       PAWN
Perkins      PERK
Phelps       PHLP
Pierce       PIRC
Platte       PLAT
Polk         POLK
Red Willow   RED
Richardson   RICH
Rock         ROCK
Saline       SALN
Sarpy        SARY
Saunders     SAUN
Scotts Bluff SCTT
Seward       SEWD
Sheridan     SHRD
Sherman      SHRM
Sioux        SIUX
Stanton      STNT
Thayer       THYR
Thomas       THMS
Thurston     THUR
Valley       VALY
Washington   WASH
Wayne        WYNE
Webster      WEB
Wheeler      WHEL
York         YORK
