ADA Adair
ALF Alfalfa
ATO Atoka
BEA Beaver
BEC Beckham
BLA Blaine
BRY Bryan
CAD Caddo
CAN Canadian
CAR Carter
CHE Cherokee
CHO Choctaw
CIM Cimarron
CLE Cleveland
COA Coal
COM Comanche
COT Cotton
CRA Craig
CRE Creek
CUS Custer
DEL Delaware
DEW Dewey
ELL Ellis
GAR Garfield
GRV Garvin
GRA Grady
GNT Grant
GRE Greer
HAR Harmon
HRP Harper
HAS Haskell
HUG Hughes
JAC Jackson
JEF Jefferson
JOH Johnston
KAY Kay
KIN Kingfisher
KIO Kiowa
LAT Latimer
LEF Le Flore
LIN Lincoln
LOG Logan
LOV Love
MCL McClain
MCU McCurtain
MCI McIntosh
MAJ Major
MAR Marshall
MAY Mayes
MUR Murray
MUS Muskogee
NOB Noble
NOW Nowata
OKF Okfuskee
OKL Oklahoma
OKM Okmulgee
OSA Osage
OTT Ottawa
PAW Pawnee
PAY Payne
PIT Pittsburg
PON Pontotoc
POT Pottawatomie
PUS Pushmataha
RGM Roger Mills
ROG Rogers
SEM Seminole
SEQ Sequoyah
STE Stephens
TEX Texas
TIL Tillman
TUL Tulsa
WAG Wagoner
WAS Washington
WAT Washita
WOO Woods
WDW Woodward
