Anderson      ANDE
Andrews       ANDR
Angelina      ANGE
Aransas       ARAN
Archer        ARCH
Armstrong     ARMS
Atascosa      ATAS
Austin        AUST
Bailey        BAIL
Bandera       BAND
Bastrop       BAST
Baylor        BAYL
Bee           BEE
Bell          BELL
Bexar         BEXA
Blanco        BLAN
Borden        BORD
Bosque        BOSQ
Bowie         BOWI
Brazoria      BZIA
Brazos        BZOS
Brewster      BREW
Briscoe       BRIS
Brooks        BROO
Brown         BROW
Burleson      BURL
Burnet        BURN
Caldwell      CALD
Calhoun       CALH
Callahan      CALL
Cameron       CMRN
Camp          CAMP
Carson        CARS
Cass          CASS
Castro        CAST
Chambers      CHAM
Cherokee      CHER
Childress     CHIL
Clay          CLAY
Cochran       COCH
Coke          COKE
Coleman       COLE
Collin        COLN
Collingsworth COLW
Colorado      COLO
Comal         COML
Comanche      COMA
Concho        CONC
Cooke         COOK
Coryell       CORY
Cottle        COTT
Crane         CRAN
Crockett      CROC
Crosby        CROS
Culberson     CULB
Dallam        DALM
Dallas        DALS
Dawson        DAWS
Deaf Smith    DSMI
Delta         DELT
Denton        DENT
Dewitt        DEWI
Dickens       DICK
Dimmit        DIMM
Donley        DONL
Duval         DUVA
Eastland      EAST
Ector         ECTO
Edwards       EDWA
El Paso       EPAS
Ellis         ELLI
Erath         ERAT
Falls         FALL
Fannin        FANN
Fayette       FAYE
Fisher        FISH
Floyd         FLOY
Foard         FOAR
Fort Bend     FBEN
Franklin      FRAN
Freestone     FREE
Frio          FRIO
Gaines        GAIN
Galveston     GALV
Garza         GARZ
Gillespie     GILL
Glasscock     GLAS
Goliad        GOLI
Gonzales      GONZ
Gray          GRAY
Grayson       GRSN
Gregg         GREG
Grimes        GRIM
Guadalupe     GUAD
Hale          HALE
Hall          HALL
Hamilton      HAMI
Hansford      HANS
Hardeman      HDMN
Hardin        HRDN
Harris        HARR
Harrison      HRSN
Hartley       HART
Haskell       HASK
Hays          HAYS
Hemphill      HEMP
Henderson     HEND
Hidalgo       HIDA
Hill          HILL
Hockley       HOCK
Hood          HOOD
Hopkins       HOPK
Houston       HOUS
Howard        HOWA
Hudspeth      HUDS
Hunt          HUNT
Hutchinson    HUTC
Irion         IRIO
Jack          JACK
Jackson       JKSN
Jasper        JASP
Jeff Davis    JDAV
Jefferson     JEFF
Jim Hogg      JHOG
Jim Wells     JWEL
Johnson       JOHN
Jones         JONE
Karnes        KARN
Kaufman       KAUF
Kendall       KEND
Kenedy        KENY
Kent          KENT
Kerr          KERR
Kimble        KIMB
King          KING
Kinney        KINN
Kleberg       KLEB
Knox          KNOX
Lamar         LAMA
Lamb          LAMB
Lampasas      LAMP
La Salle      LSAL
Lavaca        LAVA
Lee           LEE
Leon          LEON
Liberty       LIBE
Limestone     LIME
Lipscomb      LIPS
Live Oak      LIVO
Llano         LLAN
Loving        LOVI
Lubbock       LUBB
Lynn          LYNN
Madison       MADI
Marion        MARI
Martin        MART
Mason         MASO
Matagorda     MATA
Maverick      MAVE
McCulloch     MCUL
McLennan      MLEN
McMullen      MMUL
Medina        MEDI
Menard        MENA
Midland       MIDL
Milam         MILA
Mills         MILL
Mitchell      MITC
Montague      MONT
Montgomery    MGMY
Moore         MOOR
Morris        MORR
Motley        MOTL
Nacogdoches   NACO
Navarro       NAVA
Newton        NEWT
Nolan         NOLA
Nueces        NUEC
Ochiltree     OCHI
Oldham        OLDH
Orange        ORAN
Palo Pinto    PPIN
Panola        PANO
Parker        PARK
Parmer        PARM
Pecos         PECO
Polk          POLK
Potter        POTT
Presidio      PRES
Rains         RAIN
Randall       RAND
Reagan        REAG
Real          REAL
Red River     RRIV
Reeves        REEV
Refugio       REFU
Roberts       ROBE
Robertson     RBSN
Rockwall      ROCK
Runnels       RUNN
Rusk          RUSK
Sabine        SABI
San Augustine SAUG
San Jacinto   SJAC
San Patricio  SPAT
San Saba      SSAB
Schleicher    SCHL
Scurry        SCUR
Shackelford   SHAC
Shelby        SHEL
Sherman       SHMN
Smith         SMIT
Somervell     SOME
Starr         STAR
Stephens      STEP
Sterling      STER
Stonewall     STON
Sutton        SUTT
Swisher       SWIS
Tarrant       TARR
Taylor        TAYL
Terrell       TERL
Terry         TERY
Throckmorton  THRO
Titus         TITU
Tom Green     TGRE
Travis        TRAV
Trinity       TRIN
Tyler         TYLE
Upshur        UPSH
Upton         UPTO
Uvalde        UVAL
Val Verde     VVER
Van Zandt     VZAN
Victoria      VICT
Walker        WALK
Waller        WALL
Ward          WARD
Washington    WASH
Webb          WEBB
Wharton       WHAR
Wheeler       WHEE
Wichita       WICH
Wilbarger     WILB
Willacy       WILY
Williamson    WMSN
Wilson        WLSN
Winkler       WINK
Wise          WISE
Wood          WOOD
Yoakum        YOAK
Young         YOUN
Zapata        ZAPA
Zavala        ZAVA
